code,name,year,traffic-flow
E09000014,haringey,1993,384
E09000015,harrow,1993,368
E09000016,havering,1993,845
E09000017,hillingdon,1993,1274
E09000018,hounslow,1993,989
E09000019,islington,1993,301
E09000020,kensington and chelsea,1993,354
E09000021,kingston upon thames,1993,611
E09000022,lambeth,1993,565
E09000023,lewisham,1993,528
E09000024,merton,1993,407
E09000025,newham,1993,533
E09000026,redbridge,1993,586
E09000027,richmond upon thames,1993,549
E09000028,southwark,1993,528
E09000029,sutton,1993,433
E09000030,tower hamlets,1993,556
E09000031,waltham forest,1993,441
E09000032,wandsworth,1993,615
E09000033,westminster,1993,656
E06000036,bracknell forest,1993,408
E06000043,brighton and hove,1993,749
E06000060,buckinghamshire,1993,3158
E10000011,east sussex,1993,2257
E10000014,hampshire,1993,7557
E06000046,isle of wight,1993,342
E10000016,kent,1993,7072
E06000035,medway,1993,651
E06000042,milton keynes,1993,1238
E10000025,oxfordshire,1993,3765
E06000044,portsmouth,1993,705
E06000038,reading,1993,376
E06000039,slough,1993,455
E06000045,southampton,1993,631
E10000030,surrey,1993,7247
E06000037,west berkshire,1993,1420
E10000032,west sussex,1993,3914
E06000040,windsor and maidenhead,1993,965
E06000041,wokingham,1993,924
E06000022,bath and north east somerset,1993,611
E06000023,bristol,1993,1224
E06000052,cornwall,1993,2184
E10000008,devon,1993,3735
E10000013,gloucestershire,1993,2894
E06000053,isles of scilly,1993,1
E06000024,north somerset,1993,1051
E06000026,plymouth,1993,724
E10000027,somerset,1993,2958
E06000025,south gloucestershire,1993,1701
E06000030,swindon,1993,853
E06000027,torbay,1993,342
E06000054,wiltshire,1993,2735
S12000033,aberdeen city,1993,720
S12000034,aberdeenshire,1993,1390
S12000041,angus,1993,512
S12000035,argyll & bute,1993,447
S12000005,clackmannanshire,1993,151
S12000006,dumfries and galloway,1993,970
S12000042,dundee city,1993,473
S12000008,east ayrshire,1993,484
S12000045,east dunbartonshire,1993,293
S12000010,east lothian,1993,406
S12000011,east renfrewshire,1993,316
S12000036,edinburgh,1993,1538
S12000013,eilean siar,1993,97
S12000014,falkirk,1993,692
S12000047,fife,1993,1409
S12000049,glasgow city,1993,1663
S12000017,highland,1993,1265
S12000018,inverclyde,1993,287
S12000019,midlothian,1993,323
S12000020,moray,1993,355
S12000021,north ayrshire,1993,394
S12000050,north lanarkshire,1993,1548
S12000023,orkney islands,1993,68
S12000048,perth and kinross,1993,1156
S12000038,renfrewshire,1993,729
S12000026,scottish borders,1993,601
S12000027,shetland islands,1993,96
S12000028,south ayrshire,1993,480
S12000029,south lanarkshire,1993,1134
S12000030,stirling,1993,586
S12000039,west dunbartonshire,1993,324
S12000040,west lothian,1993,803
W06000019,blaenau gwent,1993,204
W06000013,bridgend,1993,599
W06000018,caerphilly,1993,585
W06000015,cardiff,1993,1525
W06000010,carmarthenshire,1993,907
W06000008,ceredigion,1993,372
W06000003,conwy,1993,554
W06000004,denbighshire,1993,431
W06000005,flintshire,1993,854
W06000002,gwynedd,1993,640
W06000001,isle of anglesey,1993,265
W06000024,merthyr tydfil,1993,190
W06000021,monmouthshire,1993,647
W06000012,neath port talbot,1993,593
W06000022,newport,1993,883
W06000009,pembrokeshire,1993,523
W06000023,powys,1993,740
W06000016,rhondda cynon taf,1993,1037
W06000011,swansea,1993,839
W06000014,the vale of glamorgan,1993,554
W06000020,torfaen,1993,308
W06000006,wrexham,1993,477
E06000047,county durham,1994,1983
E06000005,darlington,1994,432
E06000001,hartlepool,1994,347
E06000002,middlesbrough,1994,714
E06000057,northumberland,1994,1371
E06000003,redcar and cleveland,1994,531
E06000004,stockton-on-tees,1994,811
E08000037,gateshead,1994,1060
E08000021,newcastle upon tyne,1994,1049
E08000022,north tyneside,1994,733
E08000023,south tyneside,1994,433
E08000024,sunderland,1994,983
E06000008,blackburn with darwen,1994,388
E06000009,blackpool,1994,338
E10000006,cumbria,1994,2915
E06000006,halton,1994,507
E10000017,lancashire,1994,5814
E06000007,warrington,1994,1306
E08000001,bolton,1994,1112
E08000002,bury,1994,812
E08000003,manchester,1994,1559
E08000004,oldham,1994,509
E08000005,rochdale,1994,874
E08000006,salford,1994,1289
E08000007,stockport,1994,999
E08000008,tameside,1994,523
E08000009,trafford,1994,904
E08000010,wigan,1994,1022
E08000011,knowsley,1994,703
E08000012,liverpool,1994,1275
E08000014,sefton,1994,662
E08000013,st. helens,1994,681
E08000015,wirral,1994,886
E06000011,east riding of yorkshire,1994,1677
E06000010,kingston upon hull,1994,688
E06000012,north east lincolnshire,1994,528
E06000013,north lincolnshire,1994,808
E10000023,north yorkshire,1994,4005
E06000014,york,1994,645
E08000016,barnsley,1994,931
E08000017,doncaster,1994,1443
E08000018,rotherham,1994,1198
E08000019,sheffield,1994,1446
E08000032,bradford,1994,1348
E08000033,calderdale,1994,813
E08000034,kirklees,1994,1381
E08000035,leeds,1994,3311
E08000036,wakefield,1994,1354
E06000015,derby,1994,966
E10000007,derbyshire,1994,3877
E06000016,leicester,1994,797
E10000018,leicestershire,1994,3538
E10000019,lincolnshire,1994,2875
E06000018,nottingham,1994,890
E10000024,nottinghamshire,1994,3446
E06000017,rutland,1994,302
E06000019,herefordshire,1994,947
E06000051,shropshire,1994,1563
E10000028,staffordshire,1994,4654
E06000021,stoke-on-trent,1994,743
E06000020,telford and wrekin,1994,706
E10000031,warwickshire,1994,4359
E10000034,worcestershire,1994,3407
E08000025,birmingham,1994,3532
E08000026,coventry,1994,1010
E08000027,dudley,1994,980
E08000028,sandwell,1994,1110
E08000029,solihull,1994,1181
E08000030,walsall,1994,832
E08000031,wolverhampton,1994,704
E10000003,cambridgeshire,1994,3617
E10000012,essex,1994,7189
E10000015,hertfordshire,1994,6144
E06000032,luton,1994,446
E10000020,norfolk,1994,4253
E06000031,peterborough,1994,917
E06000033,southend-on-sea,1994,373
E10000029,suffolk,1994,3118
E06000034,thurrock,1994,792
E09000002,barking and dagenham,1994,347
E09000003,barnet,1994,981
E09000004,bexley,1994,548
E09000005,brent,1994,572
E09000006,bromley,1994,786
E09000007,camden,1994,387
E09000001,city of london,1994,126
E09000008,croydon,1994,832
E09000009,ealing,1994,795
E09000010,enfield,1994,915
E09000011,greenwich,1994,682
E09000012,hackney,1994,331
E09000013,hammersmith and fulham,1994,360
E09000014,haringey,1994,387
E09000015,harrow,1994,374
E09000016,havering,1994,865
E09000017,hillingdon,1994,1300
E09000018,hounslow,1994,1008
E09000019,islington,1994,304
E09000020,kensington and chelsea,1994,359
E09000021,kingston upon thames,1994,619
E09000022,lambeth,1994,570
E09000023,lewisham,1994,534
E09000024,merton,1994,413
E09000025,newham,1994,536
E09000026,redbridge,1994,596
E09000027,richmond upon thames,1994,556
E09000028,southwark,1994,534
E09000029,sutton,1994,438
E09000030,tower hamlets,1994,560
E09000031,waltham forest,1994,447
E09000032,wandsworth,1994,619
E09000033,westminster,1994,668
E06000036,bracknell forest,1994,417
E06000043,brighton and hove,1994,760
E06000060,buckinghamshire,1994,3230
E10000011,east sussex,1994,2301
E10000014,hampshire,1994,7714
E06000046,isle of wight,1994,352
E10000016,kent,1994,7266
E06000035,medway,1994,664
E06000042,milton keynes,1994,1259
E10000025,oxfordshire,1994,3862
E06000044,portsmouth,1994,717
E06000038,reading,1994,382
E06000039,slough,1994,469
E06000045,southampton,1994,639
E10000030,surrey,1994,7450
E06000037,west berkshire,1994,1459
E10000032,west sussex,1994,3998
E06000040,windsor and maidenhead,1994,995
E06000041,wokingham,1994,953
E06000022,bath and north east somerset,1994,621
E06000023,bristol,1994,1240
E06000052,cornwall,1994,2254
E10000008,devon,1994,3847
E10000013,gloucestershire,1994,2992
E06000053,isles of scilly,1994,1
E06000024,north somerset,1994,1073
E06000026,plymouth,1994,735
E10000027,somerset,1994,3055
E06000025,south gloucestershire,1994,1739
E06000030,swindon,1994,875
E06000027,torbay,1994,349
E06000054,wiltshire,1994,2812
S12000033,aberdeen city,1994,732
S12000034,aberdeenshire,1994,1440
S12000041,angus,1994,527
S12000035,argyll & bute,1994,461
S12000005,clackmannanshire,1994,154
S12000006,dumfries and galloway,1994,1000
S12000042,dundee city,1994,477
S12000008,east ayrshire,1994,494
S12000045,east dunbartonshire,1994,296
S12000010,east lothian,1994,415
S12000011,east renfrewshire,1994,320
S12000036,edinburgh,1994,1562
S12000013,eilean siar,1994,100
S12000014,falkirk,1994,704
S12000047,fife,1994,1447
S12000049,glasgow city,1994,1689
S12000017,highland,1994,1301
S12000018,inverclyde,1994,292
S12000019,midlothian,1994,331
S12000020,moray,1994,366
S12000021,north ayrshire,1994,400
S12000050,north lanarkshire,1994,1577
S12000023,orkney islands,1994,70
S12000048,perth and kinross,1994,1195
S12000038,renfrewshire,1994,742
S12000026,scottish borders,1994,621
S12000027,shetland islands,1994,99
S12000028,south ayrshire,1994,493
S12000029,south lanarkshire,1994,1168
S12000030,stirling,1994,600
S12000039,west dunbartonshire,1994,328
S12000040,west lothian,1994,821
W06000019,blaenau gwent,1994,206
W06000013,bridgend,1994,611
W06000018,caerphilly,1994,595
W06000015,cardiff,1994,1551
W06000010,carmarthenshire,1994,935
W06000008,ceredigion,1994,384
W06000003,conwy,1994,571
W06000004,denbighshire,1994,444
W06000005,flintshire,1994,871
W06000002,gwynedd,1994,661
W06000001,isle of anglesey,1994,273
W06000024,merthyr tydfil,1994,193
W06000021,monmouthshire,1994,669
W06000012,neath port talbot,1994,610
W06000022,newport,1994,901
W06000009,pembrokeshire,1994,539
W06000023,powys,1994,765
W06000016,rhondda cynon taf,1994,1054
W06000011,swansea,1994,854
W06000014,the vale of glamorgan,1994,566
W06000020,torfaen,1994,312
W06000006,wrexham,1994,490
E06000047,county durham,1995,2022
E06000005,darlington,1995,440
E06000001,hartlepool,1995,352
E06000002,middlesbrough,1995,723
E06000057,northumberland,1995,1403
E06000003,redcar and cleveland,1995,539
E06000004,stockton-on-tees,1995,824
E08000037,gateshead,1995,1076
E08000021,newcastle upon tyne,1995,1064
E08000022,north tyneside,1995,744
E08000023,south tyneside,1995,439
E08000024,sunderland,1995,998
E06000008,blackburn with darwen,1995,396
E06000009,blackpool,1995,343
E10000006,cumbria,1995,2990
E06000006,halton,1995,517
E10000017,lancashire,1995,5935
E06000007,warrington,1995,1343
E08000001,bolton,1995,1134
E08000002,bury,1995,830
E08000003,manchester,1995,1585
E08000004,oldham,1995,517
E08000005,rochdale,1995,898
E08000006,salford,1995,1323
E08000007,stockport,1995,1018
E08000008,tameside,1995,532
E08000009,trafford,1995,919
E08000010,wigan,1995,1044
E08000011,knowsley,1995,717
E08000012,liverpool,1995,1293
E08000014,sefton,1995,673
E08000013,st. helens,1995,698
E08000015,wirral,1995,900
E06000011,east riding of yorkshire,1995,1713
E06000010,kingston upon hull,1995,696
E06000012,north east lincolnshire,1995,536
E06000013,north lincolnshire,1995,827
E10000023,north yorkshire,1995,4099
E06000014,york,1995,659
E08000016,barnsley,1995,952
E08000017,doncaster,1995,1479
E08000018,rotherham,1995,1229
E08000019,sheffield,1995,1472
E08000032,bradford,1995,1367
E08000033,calderdale,1995,831
E08000034,kirklees,1995,1413
E08000035,leeds,1995,3383
E08000036,wakefield,1995,1386
E06000015,derby,1995,977
E10000007,derbyshire,1995,3963
E06000016,leicester,1995,809
E10000018,leicestershire,1995,3624
E10000019,lincolnshire,1995,2936
E06000018,nottingham,1995,902
E10000024,nottinghamshire,1995,3514
E06000017,rutland,1995,310
E06000019,herefordshire,1995,965
E06000051,shropshire,1995,1596
E10000028,staffordshire,1995,4781
E06000021,stoke-on-trent,1995,754
E06000020,telford and wrekin,1995,716
E10000031,warwickshire,1995,4467
E10000034,worcestershire,1995,3481
E08000025,birmingham,1995,3588
E08000026,coventry,1995,1022
E08000027,dudley,1995,995
E08000028,sandwell,1995,1132
E08000029,solihull,1995,1205
E08000030,walsall,1995,849
E08000031,wolverhampton,1995,714
E10000003,cambridgeshire,1995,3690
E10000012,essex,1995,7333
E10000015,hertfordshire,1995,6304
E06000032,luton,1995,453
E10000020,norfolk,1995,4325
E06000031,peterborough,1995,932
E06000033,southend-on-sea,1995,379
E10000029,suffolk,1995,3182
E06000034,thurrock,1995,811
E09000002,barking and dagenham,1995,343
E09000003,barnet,1995,980
E09000004,bexley,1995,545
E09000005,brent,1995,567
E09000006,bromley,1995,785
E09000007,camden,1995,390
E09000001,city of london,1995,127
E09000008,croydon,1995,827
E09000009,ealing,1995,786
E09000010,enfield,1995,921
E09000011,greenwich,1995,679
E09000012,hackney,1995,334
E09000013,hammersmith and fulham,1995,365
E09000014,haringey,1995,389
E09000015,harrow,1995,373
E09000016,havering,1995,874
E09000017,hillingdon,1995,1309
E09000018,hounslow,1995,1007
E09000019,islington,1995,306
E09000020,kensington and chelsea,1995,364
E09000021,kingston upon thames,1995,613
E09000022,lambeth,1995,574
E09000023,lewisham,1995,537
E09000024,merton,1995,410
E09000025,newham,1995,540
E09000026,redbridge,1995,592
E09000027,richmond upon thames,1995,551
E09000028,southwark,1995,539
E09000029,sutton,1995,437
E09000030,tower hamlets,1995,563
E09000031,waltham forest,1995,443
E09000032,wandsworth,1995,623
E09000033,westminster,1995,670
E06000036,bracknell forest,1995,424
E06000043,brighton and hove,1995,771
E06000060,buckinghamshire,1995,3306
E10000011,east sussex,1995,2330
E10000014,hampshire,1995,7861
E06000046,isle of wight,1995,359
E10000016,kent,1995,7446
E06000035,medway,1995,676
E06000042,milton keynes,1995,1281
E10000025,oxfordshire,1995,3946
E06000044,portsmouth,1995,731
E06000038,reading,1995,388
E06000039,slough,1995,484
E06000045,southampton,1995,649
E10000030,surrey,1995,7641
E06000037,west berkshire,1995,1500
E10000032,west sussex,1995,4063
E06000040,windsor and maidenhead,1995,1024
E06000041,wokingham,1995,979
E06000022,bath and north east somerset,1995,629
E06000023,bristol,1995,1261
E06000052,cornwall,1995,2299
E10000008,devon,1995,3934
E10000013,gloucestershire,1995,3070
E06000053,isles of scilly,1995,1
E06000024,north somerset,1995,1097
E06000026,plymouth,1995,746
E10000027,somerset,1995,3124
E06000025,south gloucestershire,1995,1783
E06000030,swindon,1995,895
E06000027,torbay,1995,355
E06000054,wiltshire,1995,2874
S12000033,aberdeen city,1995,745
S12000034,aberdeenshire,1995,1468
S12000041,angus,1995,538
S12000035,argyll & bute,1995,473
S12000005,clackmannanshire,1995,155
S12000006,dumfries and galloway,1995,1028
S12000042,dundee city,1995,483
S12000008,east ayrshire,1995,502
S12000045,east dunbartonshire,1995,300
S12000010,east lothian,1995,422
S12000011,east renfrewshire,1995,325
S12000036,edinburgh,1995,1591
S12000013,eilean siar,1995,103
S12000014,falkirk,1995,720
S12000047,fife,1995,1470
S12000049,glasgow city,1995,1727
S12000017,highland,1995,1332
S12000018,inverclyde,1995,297
S12000019,midlothian,1995,336
S12000020,moray,1995,374
S12000021,north ayrshire,1995,406
S12000050,north lanarkshire,1995,1605
S12000023,orkney islands,1995,72
S12000048,perth and kinross,1995,1228
S12000038,renfrewshire,1995,758
S12000026,scottish borders,1995,634
S12000027,shetland islands,1995,102
S12000028,south ayrshire,1995,502
S12000029,south lanarkshire,1995,1197
S12000030,stirling,1995,613
S12000039,west dunbartonshire,1995,334
S12000040,west lothian,1995,839
W06000019,blaenau gwent,1995,210
W06000013,bridgend,1995,623
W06000018,caerphilly,1995,603
W06000015,cardiff,1995,1578
W06000010,carmarthenshire,1995,955
W06000008,ceredigion,1995,391
W06000003,conwy,1995,584
W06000004,denbighshire,1995,454
W06000005,flintshire,1995,885
W06000002,gwynedd,1995,677
W06000001,isle of anglesey,1995,279
W06000024,merthyr tydfil,1995,196
W06000021,monmouthshire,1995,685
W06000012,neath port talbot,1995,625
W06000022,newport,1995,923
W06000009,pembrokeshire,1995,549
W06000023,powys,1995,780
W06000016,rhondda cynon taf,1995,1073
W06000011,swansea,1995,868
W06000014,the vale of glamorgan,1995,576
W06000020,torfaen,1995,316
W06000006,wrexham,1995,499
E06000047,county durham,1996,2074
E06000005,darlington,1996,456
E06000001,hartlepool,1996,360
E06000002,middlesbrough,1996,729
E06000057,northumberland,1996,1424
E06000003,redcar and cleveland,1996,546
E06000004,stockton-on-tees,1996,847
E08000037,gateshead,1996,1107
E08000021,newcastle upon tyne,1996,1068
E08000022,north tyneside,1996,759
E08000023,south tyneside,1996,446
E08000024,sunderland,1996,1024
E06000008,blackburn with darwen,1996,404
E06000009,blackpool,1996,346
E10000006,cumbria,1996,3074
E06000006,halton,1996,535
E10000017,lancashire,1996,6078
E06000007,warrington,1996,1380
E08000001,bolton,1996,1171
E08000002,bury,1996,858
E08000003,manchester,1996,1589
E08000004,oldham,1996,523
E08000005,rochdale,1996,935
E08000006,salford,1996,1364
E08000007,stockport,1996,1035
E08000008,tameside,1996,544
E08000009,trafford,1996,937
E08000010,wigan,1996,1075
E08000011,knowsley,1996,701
E08000012,liverpool,1996,1302
E08000014,sefton,1996,680
E08000013,st. helens,1996,726
E08000015,wirral,1996,921
E06000011,east riding of yorkshire,1996,1770
E06000010,kingston upon hull,1996,695
E06000012,north east lincolnshire,1996,544
E06000013,north lincolnshire,1996,851
E10000023,north yorkshire,1996,4221
E06000014,york,1996,675
E08000016,barnsley,1996,983
E08000017,doncaster,1996,1544
E08000018,rotherham,1996,1282
E08000019,sheffield,1996,1498
E08000032,bradford,1996,1392
E08000033,calderdale,1996,859
E08000034,kirklees,1996,1455
E08000035,leeds,1996,3463
E08000036,wakefield,1996,1449
E06000015,derby,1996,986
E10000007,derbyshire,1996,4120
E06000016,leicester,1996,818
E10000018,leicestershire,1996,3787
E10000019,lincolnshire,1996,3013
E06000018,nottingham,1996,910
E10000024,nottinghamshire,1996,3612
E06000017,rutland,1996,325
E06000019,herefordshire,1996,990
E06000051,shropshire,1996,1629
E10000028,staffordshire,1996,4903
E06000021,stoke-on-trent,1996,761
E06000020,telford and wrekin,1996,732
E10000031,warwickshire,1996,4688
E10000034,worcestershire,1996,3645
E08000025,birmingham,1996,3575
E08000026,coventry,1996,1036
E08000027,dudley,1996,1015
E08000028,sandwell,1996,1161
E08000029,solihull,1996,1240
E08000030,walsall,1996,863
E08000031,wolverhampton,1996,720
E10000003,cambridgeshire,1996,3829
E10000012,essex,1996,7533
E10000015,hertfordshire,1996,6494
E06000032,luton,1996,461
E10000020,norfolk,1996,4403
E06000031,peterborough,1996,948
E06000033,southend-on-sea,1996,380
E10000029,suffolk,1996,3261
E06000034,thurrock,1996,830
E09000002,barking and dagenham,1996,342
E09000003,barnet,1996,998
E09000004,bexley,1996,561
E09000005,brent,1996,582
E09000006,bromley,1996,798
E09000007,camden,1996,387
E09000001,city of london,1996,130
E09000008,croydon,1996,832
E09000009,ealing,1996,799
E09000010,enfield,1996,942
E09000011,greenwich,1996,677
E09000012,hackney,1996,336
E09000013,hammersmith and fulham,1996,370
E09000014,haringey,1996,390
E09000015,harrow,1996,377
E09000016,havering,1996,891
E09000017,hillingdon,1996,1332
E09000018,hounslow,1996,1026
E09000019,islington,1996,300
E09000020,kensington and chelsea,1996,365
E09000021,kingston upon thames,1996,623
E09000022,lambeth,1996,579
E09000023,lewisham,1996,540
E09000024,merton,1996,417
E09000025,newham,1996,543
E09000026,redbridge,1996,589
E09000027,richmond upon thames,1996,556
E09000028,southwark,1996,537
E09000029,sutton,1996,437
E09000030,tower hamlets,1996,560
E09000031,waltham forest,1996,446
E09000032,wandsworth,1996,625
E09000033,westminster,1996,664
E06000036,bracknell forest,1996,428
E06000043,brighton and hove,1996,787
E06000060,buckinghamshire,1996,3448
E10000011,east sussex,1996,2390
E10000014,hampshire,1996,8107
E06000046,isle of wight,1996,364
E10000016,kent,1996,7747
E06000035,medway,1996,690
E06000042,milton keynes,1996,1315
E10000025,oxfordshire,1996,4095
E06000044,portsmouth,1996,719
E06000038,reading,1996,394
E06000039,slough,1996,505
E06000045,southampton,1996,657
E10000030,surrey,1996,7928
E06000037,west berkshire,1996,1566
E10000032,west sussex,1996,4185
E06000040,windsor and maidenhead,1996,1063
E06000041,wokingham,1996,942
E06000022,bath and north east somerset,1996,642
E06000023,bristol,1996,1267
E06000052,cornwall,1996,2345
E10000008,devon,1996,4045
E10000013,gloucestershire,1996,3186
E06000053,isles of scilly,1996,2
E06000024,north somerset,1996,1131
E06000026,plymouth,1996,766
E10000027,somerset,1996,3195
E06000025,south gloucestershire,1996,1848
E06000030,swindon,1996,921
E06000027,torbay,1996,367
E06000054,wiltshire,1996,2963
S12000033,aberdeen city,1996,772
S12000034,aberdeenshire,1996,1506
S12000041,angus,1996,554
S12000035,argyll & bute,1996,487
S12000005,clackmannanshire,1996,158
S12000006,dumfries and galloway,1996,1065
S12000042,dundee city,1996,488
S12000008,east ayrshire,1996,516
S12000045,east dunbartonshire,1996,305
S12000010,east lothian,1996,435
S12000011,east renfrewshire,1996,332
S12000036,edinburgh,1996,1631
S12000013,eilean siar,1996,106
S12000014,falkirk,1996,743
S12000047,fife,1996,1509
S12000049,glasgow city,1996,1781
S12000017,highland,1996,1373
S12000018,inverclyde,1996,302
S12000019,midlothian,1996,344
S12000020,moray,1996,385
S12000021,north ayrshire,1996,417
S12000050,north lanarkshire,1996,1645
S12000023,orkney islands,1996,73
S12000048,perth and kinross,1996,1270
S12000038,renfrewshire,1996,783
S12000026,scottish borders,1996,651
S12000027,shetland islands,1996,104
S12000028,south ayrshire,1996,515
S12000029,south lanarkshire,1996,1235
S12000030,stirling,1996,632
S12000039,west dunbartonshire,1996,342
S12000040,west lothian,1996,868
W06000019,blaenau gwent,1996,212
W06000013,bridgend,1996,648
W06000018,caerphilly,1996,613
W06000015,cardiff,1996,1614
W06000010,carmarthenshire,1996,988
W06000008,ceredigion,1996,404
W06000003,conwy,1996,604
W06000004,denbighshire,1996,463
W06000005,flintshire,1996,899
W06000002,gwynedd,1996,697
W06000001,isle of anglesey,1996,286
W06000024,merthyr tydfil,1996,204
W06000021,monmouthshire,1996,706
W06000012,neath port talbot,1996,646
W06000022,newport,1996,961
W06000009,pembrokeshire,1996,563
W06000023,powys,1996,799
W06000016,rhondda cynon taf,1996,1083
W06000011,swansea,1996,876
W06000014,the vale of glamorgan,1996,589
W06000020,torfaen,1996,320
W06000006,wrexham,1996,514
E06000047,county durham,1997,2157
E06000005,darlington,1997,475
E06000001,hartlepool,1997,372
E06000002,middlesbrough,1997,740
E06000057,northumberland,1997,1443
E06000003,redcar and cleveland,1997,554
E06000004,stockton-on-tees,1997,860
E08000037,gateshead,1997,1128
E08000021,newcastle upon tyne,1997,1083
E08000022,north tyneside,1997,769
E08000023,south tyneside,1997,452
E08000024,sunderland,1997,1041
E06000008,blackburn with darwen,1997,413
E06000009,blackpool,1997,348
E10000006,cumbria,1997,3179
E06000006,halton,1997,553
E10000017,lancashire,1997,6185
E06000007,warrington,1997,1418
E08000001,bolton,1997,1193
E08000002,bury,1997,878
E08000003,manchester,1997,1609
E08000004,oldham,1997,527
E08000005,rochdale,1997,954
E08000006,salford,1997,1399
E08000007,stockport,1997,1050
E08000008,tameside,1997,551
E08000009,trafford,1997,953
E08000010,wigan,1997,1100
E08000011,knowsley,1997,729
E08000012,liverpool,1997,1312
E08000014,sefton,1997,690
E08000013,st. helens,1997,738
E08000015,wirral,1997,940
E06000011,east riding of yorkshire,1997,1786
E06000010,kingston upon hull,1997,693
E06000012,north east lincolnshire,1997,552
E06000013,north lincolnshire,1997,874
E10000023,north yorkshire,1997,4301
E06000014,york,1997,683
E08000016,barnsley,1997,968
E08000017,doncaster,1997,1591
E08000018,rotherham,1997,1318
E08000019,sheffield,1997,1526
E08000032,bradford,1997,1414
E08000033,calderdale,1997,875
E08000034,kirklees,1997,1485
E08000035,leeds,1997,3549
E08000036,wakefield,1997,1487
E06000015,derby,1997,986
E10000007,derbyshire,1997,4215
E06000016,leicester,1997,809
E10000018,leicestershire,1997,3976
E10000019,lincolnshire,1997,3070
E06000018,nottingham,1997,916
E10000024,nottinghamshire,1997,3682
E06000017,rutland,1997,329
E06000019,herefordshire,1997,1008
E06000051,shropshire,1997,1669
E10000028,staffordshire,1997,4987
E06000021,stoke-on-trent,1997,760
E06000020,telford and wrekin,1997,753
E10000031,warwickshire,1997,4867
E10000034,worcestershire,1997,3762
E08000025,birmingham,1997,3630
E08000026,coventry,1997,1045
E08000027,dudley,1997,1027
E08000028,sandwell,1997,1160
E08000029,solihull,1997,1270
E08000030,walsall,1997,875
E08000031,wolverhampton,1997,719
E10000003,cambridgeshire,1997,3962
E10000012,essex,1997,7694
E10000015,hertfordshire,1997,6640
E06000032,luton,1997,468
E10000020,norfolk,1997,4462
E06000031,peterborough,1997,975
E06000033,southend-on-sea,1997,381
E10000029,suffolk,1997,3369
E06000034,thurrock,1997,852
E09000002,barking and dagenham,1997,340
E09000003,barnet,1997,1014
E09000004,bexley,1997,568
E09000005,brent,1997,580
E09000006,bromley,1997,806
E09000007,camden,1997,388
E09000001,city of london,1997,132
E09000008,croydon,1997,834
